"","airline","Date","CurrDate","n_day","wk_day","av_price","select","week","tri_d","tp","pred","med","q25","q75"
"1","Alaska Airlines","01/01/2019","2018-12-02",30,"Sunday",416.665,1,"4",10,"3",436.741044455294,442.230911121743,312.888060665244,640.159882798021
"3","Alaska Airlines","01/01/2019","2018-12-04",28,"Tuesday",812.33,1,"4",9,"3",404.061784195889,405.083231890068,292.836339078625,585.708946293912
"4","Alaska Airlines","01/01/2019","2018-12-05",27,"Wednesday",784.2,1,"4",9,"3",410.100141339689,407.661022784594,295.306490669411,609.939912802095
"5","Alaska Airlines","01/01/2019","2018-12-06",26,"Thursday",428.266666666667,1,"4",9,"3",336.167901322496,334.490522292761,250.198299343339,474.980466401001
"6","Alaska Airlines","01/01/2019","2018-12-07",25,"Friday",408.05,1,"4",8,"3",360.240008660169,358.074370134423,264.541361436255,520.355801583073
"7","Alaska Airlines","01/01/2019","2018-12-08",24,"Saturday",407.2,1,"3",8,"3",412.730495075351,414.221246721407,293.461454005945,611.419297163371
"9","Alaska Airlines","01/02/2019","2018-12-03",30,"Monday",417.6,1,"4",10,"3",402.27691467415,397.788500081194,291.486399552961,588.350490086785
"10","Alaska Airlines","01/02/2019","2018-12-04",29,"Tuesday",415.666666666667,1,"4",10,"3",413.115639152323,410.069090106025,295.090576772986,609.175334681
"11","Alaska Airlines","01/02/2019","2018-12-05",28,"Wednesday",418.8,1,"4",9,"3",423.991321731891,425.869315649237,304.826956248186,618.207642166857
"12","Alaska Airlines","01/02/2019","2018-12-06",27,"Thursday",844.2,1,"4",9,"3",341.077568448103,339.659148408892,252.830996118119,485.707934985535
"13","Alaska Airlines","01/02/2019","2018-12-07",26,"Friday",422.1,1,"4",9,"3",358.564954708327,361.5310003306,265.35151260152,512.456509780943
"16","Alaska Airlines","01/03/2019","2018-12-03",31,"Monday",330.5,1,"4",10,"3",338.515414202381,341.726097529299,250.426135548308,484.056412626359
"17","Alaska Airlines","01/03/2019","2018-12-04",30,"Tuesday",330.5,1,"4",10,"3",354.778886731994,359.411842649759,261.339402910491,500.223482556647
"18","Alaska Airlines","01/03/2019","2018-12-05",29,"Wednesday",369.2,1,"4",10,"3",360.170866382992,359.831357028745,267.968955990004,518.148640598241
"19","Alaska Airlines","01/03/2019","2018-12-06",28,"Thursday",369.2,1,"4",9,"3",295.892914693856,294.224257554786,226.481345241413,412.963427359746
"20","Alaska Airlines","01/03/2019","2018-12-07",27,"Friday",369.2,1,"4",9,"3",313.767430439129,313.419739611722,236.688618090646,438.705882568952
"21","Alaska Airlines","01/03/2019","2018-12-08",26,"Saturday",366.1,1,"4",9,"3",367.148616766784,371.476933455481,267.523238199043,528.361385241109
"22","Alaska Airlines","01/04/2019","2018-12-02",33,"Sunday",295.5,1,"5",11,"3",300.967379326749,300.83838233931,228.712605908574,419.44123521979
"23","Alaska Airlines","01/04/2019","2018-12-03",32,"Monday",295.5,1,"5",11,"3",275.955531559023,275.625824769245,211.82514717288,386.678210885284
"24","Alaska Airlines","01/04/2019","2018-12-04",31,"Tuesday",295.5,1,"4",10,"3",295.047304710053,294.753575305569,223.752615619279,409.062679653285
"25","Alaska Airlines","01/04/2019","2018-12-05",30,"Wednesday",288.8,1,"4",10,"3",299.694787685534,297.689683261104,229.942009025314,411.866217829325
"27","Alaska Airlines","01/04/2019","2018-12-07",28,"Friday",288.8,1,"4",9,"3",266.307512376947,267.47375729681,206.342013222751,369.244115719737
"29","Alaska Airlines","01/05/2019","2018-12-02",34,"Sunday",327.133333333333,1,"5",11,"3",290.189699236622,288.395938191928,221.283917727375,406.524936495489
"30","Alaska Airlines","01/05/2019","2018-12-03",33,"Monday",327.133333333333,1,"5",11,"3",269.115609586966,269.087495244439,208.117373854535,369.499723703656
"32","Alaska Airlines","01/05/2019","2018-12-05",31,"Wednesday",335.6475,1,"4",10,"3",297.203350777165,296.896242010223,224.306270984134,416.332739630445
"33","Alaska Airlines","01/05/2019","2018-12-06",30,"Thursday",346.831666666667,1,"4",10,"3",246.155439077825,244.921925697164,194.934994917407,332.136462549986
"34","Alaska Airlines","01/05/2019","2018-12-07",29,"Friday",343.831666666667,1,"4",10,"3",260.850832567513,259.581884175879,203.746651540586,360.773414578179
"35","Alaska Airlines","01/05/2019","2018-12-08",28,"Saturday",335.6475,1,"4",9,"3",294.085681455111,295.810424911955,222.791221378538,410.021507404295
"36","Alaska Airlines","01/06/2019","2018-12-02",35,"Sunday",343.92,1,"5",12,"3",306.07004419485,307.535574317008,233.229924074258,427.147878632721
"37","Alaska Airlines","01/06/2019","2018-12-03",34,"Monday",334.6,1,"5",11,"3",277.26079721583,278.572457887991,213.82219589766,381.6354112636
"38","Alaska Airlines","01/06/2019","2018-12-04",33,"Tuesday",334.6,1,"5",11,"3",285.84946332755,286.144406732998,219.173838246263,397.40578583815
"39","Alaska Airlines","01/06/2019","2018-12-05",32,"Wednesday",319.933333333333,1,"5",11,"3",290.985082355168,290.777786355026,222.763192232249,403.461137861539
"40","Alaska Airlines","01/06/2019","2018-12-06",31,"Thursday",334.6,1,"4",10,"3",255.977838631836,257.011682234539,200.387334626992,348.467529373719
"43","Alaska Airlines","01/07/2019","2018-12-02",36,"Sunday",172.5,1,"5",12,"4",205.035682577593,205.366946652316,170.39292078698,264.637114740948
"44","Alaska Airlines","01/07/2019","2018-12-03",35,"Monday",172.5,1,"5",12,"3",196.624202549381,196.527883876632,164.826324052472,247.915594585607
"45","Alaska Airlines","01/07/2019","2018-12-04",34,"Tuesday",172.5,1,"5",11,"3",200.482870153545,202.306374815727,166.243018469355,256.78281899773
"47","Alaska Airlines","01/07/2019","2018-12-06",32,"Thursday",198.5,1,"5",11,"3",178.659384247164,178.704572137072,152.19948799276,221.30510977448
"48","Alaska Airlines","01/07/2019","2018-12-07",31,"Friday",198.5,1,"4",10,"3",189.718467493651,189.440007317943,160.127279602798,238.438107215169
"49","Alaska Airlines","01/07/2019","2018-12-08",30,"Saturday",148.2,1,"4",10,"3",210.223144523368,209.955391995747,172.721497988107,273.639033582824
"50","Alaska Airlines","01/08/2019","2018-12-02",37,"Sunday",128.2,1,"5",12,"4",135.351020808125,135.329280878452,126.742148542005,149.800278202495
"51","Alaska Airlines","01/08/2019","2018-12-03",36,"Monday",128.2,1,"5",12,"4",132.423117742424,132.532741220978,125.16631423965,144.229176773552
"52","Alaska Airlines","01/08/2019","2018-12-04",35,"Tuesday",128.2,1,"5",12,"3",133.314941617055,133.527633981964,125.556476032628,145.485364249877
"53","Alaska Airlines","01/08/2019","2018-12-05",34,"Wednesday",196.4,1,"5",11,"3",133.617253224426,133.751081946117,125.880771942901,146.777268265128
"54","Alaska Airlines","01/08/2019","2018-12-06",33,"Thursday",128.2,1,"5",11,"3",128.984926580448,128.92749748864,123.002688455602,138.900035866382
"55","Alaska Airlines","01/08/2019","2018-12-07",32,"Friday",128.2,1,"5",11,"3",129.918644278746,130.109064294607,123.595538245342,140.375080260138
"57","Alaska Airlines","01/09/2019","2018-12-02",38,"Sunday",128.2,1,"5",13,"4",168.342334743979,168.562424886668,146.998189540327,203.292518303851
"58","Alaska Airlines","01/09/2019","2018-12-03",37,"Monday",128.2,1,"5",12,"4",161.258315028501,160.861145459799,142.51367500282,191.864494507787
"59","Alaska Airlines","01/09/2019","2018-12-04",36,"Tuesday",128.2,1,"5",12,"4",163.930033500928,164.217670347905,144.817467698376,195.585983563902
"60","Alaska Airlines","01/09/2019","2018-12-05",35,"Wednesday",98.2,1,"5",12,"3",165.550996368121,165.911360214451,145.478191796751,199.936984814363
"61","Alaska Airlines","01/09/2019","2018-12-06",34,"Thursday",128.2,1,"5",11,"3",152.917855220833,152.388221680162,137.916101562012,177.896173837009
"62","Alaska Airlines","01/09/2019","2018-12-07",33,"Friday",128.2,1,"5",11,"3",156.076717043808,155.808857021591,139.252570377988,184.130084166022
"63","Alaska Airlines","01/09/2019","2018-12-08",32,"Saturday",128.2,1,"5",11,"3",165.860208482987,166.322886891807,145.140033240338,200.581519992846
"64","Alaska Airlines","01/10/2019","2018-12-02",39,"Sunday",136.2,1,"6",13,"4",148.244803253714,148.164782372205,134.5668156438,170.13329099138
"66","Alaska Airlines","01/10/2019","2018-12-04",37,"Tuesday",136.2,1,"5",12,"4",151.143129085856,150.82533315162,136.372391840446,175.55913221825
"67","Alaska Airlines","01/10/2019","2018-12-05",36,"Wednesday",136.2,1,"5",12,"4",151.898936171582,151.707408465417,137.012845908201,177.219279777512
"68","Alaska Airlines","01/10/2019","2018-12-06",35,"Thursday",136.2,1,"5",12,"3",142.009854813723,142.008838746651,130.659571892156,160.185492461668
"69","Alaska Airlines","01/10/2019","2018-12-07",34,"Friday",136.2,1,"5",11,"3",145.018383835845,145.234784349879,132.994920790144,164.13045296672
"70","Alaska Airlines","01/10/2019","2018-12-08",33,"Saturday",128.2,1,"5",11,"3",152.894713701838,153.188573987702,137.544290384219,177.269957729986
"71","Alaska Airlines","01/11/2019","2018-12-02",40,"Sunday",136.2,1,"6",13,"4",144.305570807306,144.596555624745,132.386832859854,164.424266981618
"72","Alaska Airlines","01/11/2019","2018-12-03",39,"Monday",136.2,1,"6",13,"4",140.336422102436,140.557158450224,130.218794730779,156.574928613055
"73","Alaska Airlines","01/11/2019","2018-12-04",38,"Tuesday",136.2,1,"5",13,"4",146.715941556107,146.658147755836,134.076394051196,167.701607232363
"74","Alaska Airlines","01/11/2019","2018-12-05",37,"Wednesday",136.2,1,"5",12,"4",147.011891822679,147.375905353056,134.006010452776,169.296489513034
"75","Alaska Airlines","01/11/2019","2018-12-06",36,"Thursday",136.2,1,"5",12,"4",139.089103894429,138.842437813468,128.95995465542,155.960870740204
"76","Alaska Airlines","01/11/2019","2018-12-07",35,"Friday",136.2,1,"5",12,"3",140.677311170519,140.494062569168,130.239753809841,157.900916293976
"77","Alaska Airlines","01/11/2019","2018-12-08",34,"Saturday",128.2,1,"5",11,"3",148.095284659517,147.782284485399,134.832316808116,170.650138858672
"78","Alaska Airlines","01/12/2019","2018-12-02",41,"Sunday",128.2,1,"6",14,"4",132.629441965103,132.221351252735,125.451214112998,144.318302044806
"79","Alaska Airlines","01/12/2019","2018-12-03",40,"Monday",128.2,1,"6",13,"4",129.558460089112,129.511017427656,123.255604018164,139.866849950873
"80","Alaska Airlines","01/12/2019","2018-12-04",39,"Tuesday",128.2,1,"6",13,"4",130.907869221288,130.884422966835,124.267376565422,141.759916591974
"82","Alaska Airlines","01/12/2019","2018-12-06",37,"Thursday",277.2,1,"5",12,"4",128.656978021077,128.563998326155,122.85991744356,138.800707982826
"83","Alaska Airlines","01/12/2019","2018-12-07",36,"Friday",277.2,1,"5",12,"4",130.206443154791,130.33614000623,123.761586943414,141.057829218976
"85","Alaska Airlines","01/13/2019","2018-12-02",42,"Sunday",272.4,1,"6",14,"4",284.203132859771,284.715489928647,216.682878497581,394.016084220561
"86","Alaska Airlines","01/13/2019","2018-12-03",41,"Monday",272.4,1,"6",14,"4",260.394573396607,261.096405420583,202.91621102852,352.945374031901
"88","Alaska Airlines","01/13/2019","2018-12-05",39,"Wednesday",272.4,1,"6",13,"4",271.951881996557,272.003294651152,210.693853555854,375.750856849559
"89","Alaska Airlines","01/13/2019","2018-12-06",38,"Thursday",136.2,1,"5",13,"4",253.747393939314,254.906629955259,198.187938561067,342.857634839637
"90","Alaska Airlines","01/13/2019","2018-12-07",37,"Friday",136.2,1,"5",12,"4",264.131330137337,265.324008982101,204.110920339288,366.817605552282
"92","Alaska Airlines","01/14/2019","2018-12-02",43,"Sunday",316.2,1,"6",14,"4",191.977305697206,192.283969618268,161.010741096201,244.279317838993
"93","Alaska Airlines","01/14/2019","2018-12-03",42,"Monday",136.2,1,"6",14,"4",180.698108444143,180.991438885373,154.450968284573,222.971018662145
"94","Alaska Airlines","01/14/2019","2018-12-04",41,"Tuesday",136.2,1,"6",14,"4",183.833276109554,185.067604036947,155.570087797421,229.419022282399
"96","Alaska Airlines","01/14/2019","2018-12-06",39,"Thursday",136.2,1,"6",13,"4",166.098067024775,165.989404399882,145.040428200099,198.762808075697
"97","Alaska Airlines","01/14/2019","2018-12-07",38,"Friday",272.4,1,"5",13,"4",181.332082004128,181.991444463398,154.276063528242,225.409880637513
"98","Alaska Airlines","01/14/2019","2018-12-08",37,"Saturday",128.2,1,"5",12,"4",199.599773742224,198.747817773996,165.661098809768,254.126715317413
"102","Alaska Airlines","01/15/2019","2018-12-05",41,"Wednesday",98.2,1,"6",14,"4",130.550711847103,130.450061112722,124.029960172847,141.357217912793
"103","Alaska Airlines","01/15/2019","2018-12-06",40,"Thursday",98.2,1,"6",13,"4",126.112866845328,126.018295116111,121.230731775435,134.062471904715
"104","Alaska Airlines","01/15/2019","2018-12-07",39,"Friday",98.2,1,"6",13,"4",127.121136786994,127.22877647153,121.834506998381,135.48979279915
"105","Alaska Airlines","01/15/2019","2018-12-08",38,"Saturday",108.2,1,"5",13,"4",133.936339430613,133.723379082241,125.858586128958,146.912939444305
"106","Alaska Airlines","01/16/2019","2018-12-02",45,"Sunday",128.2,1,"6",15,"4",134.059233265709,133.914763106297,126.25291847649,147.10433697291
"107","Alaska Airlines","01/16/2019","2018-12-03",44,"Monday",128.2,1,"6",15,"4",131.106891164833,130.85572198208,124.34128608752,142.29322556429
"108","Alaska Airlines","01/16/2019","2018-12-04",43,"Tuesday",128.2,1,"6",14,"4",132.213894703702,132.103362665107,124.878689809599,144.430279616242
"109","Alaska Airlines","01/16/2019","2018-12-05",42,"Wednesday",98.2,1,"6",14,"4",132.474728594811,132.559158492287,125.033330219759,144.779962028893
"110","Alaska Airlines","01/16/2019","2018-12-06",41,"Thursday",98.2,1,"6",14,"4",127.761771430078,127.757111354151,122.361999968303,137.087257142484
"113","Alaska Airlines","01/17/2019","2018-12-03",45,"Monday",330.5,1,"6",15,"4",140.365431740877,140.305123505554,129.840275543705,157.219120848244
"114","Alaska Airlines","01/17/2019","2018-12-04",44,"Tuesday",244.35,1,"6",15,"4",141.054146594198,141.166802642785,130.524771691702,158.786783537381
"115","Alaska Airlines","01/17/2019","2018-12-05",43,"Wednesday",158.2,1,"6",14,"4",141.521394926603,141.444413069689,130.426671437197,160.017315210199
"116","Alaska Airlines","01/17/2019","2018-12-06",42,"Thursday",136.2,1,"6",14,"4",134.495431806428,134.438820538821,126.617109515472,147.802524324049
"117","Alaska Airlines","01/17/2019","2018-12-07",41,"Friday",136.2,1,"6",14,"4",135.640163686049,135.621401573307,127.287104955896,149.446741705703
"119","Alaska Airlines","01/18/2019","2018-12-02",47,"Sunday",136.2,1,"7",16,"4",152.818842594406,152.796263938595,137.490226366242,178.422909371635
"120","Alaska Airlines","01/18/2019","2018-12-03",46,"Monday",136.2,1,"7",15,"4",147.34032218573,147.020012501781,134.204160420491,169.379242804508
"121","Alaska Airlines","01/18/2019","2018-12-04",45,"Tuesday",136.2,1,"6",15,"4",146.744662940854,147.267392678076,133.694373028216,168.501622158838
"123","Alaska Airlines","01/18/2019","2018-12-06",43,"Thursday",136.2,1,"6",14,"4",138.794351437189,138.64329314522,128.914595981938,155.612171559773
"124","Alaska Airlines","01/18/2019","2018-12-07",42,"Friday",136.2,1,"6",14,"4",140.117145796186,139.981392925406,129.748038445625,156.321324771303
"125","Alaska Airlines","01/18/2019","2018-12-08",41,"Saturday",158.5,1,"6",14,"4",147.359845702875,147.116939155338,134.038095622515,169.147834707225
"129","Alaska Airlines","01/19/2019","2018-12-05",45,"Wednesday",218.2,1,"6",15,"4",125.827474943886,125.584235635851,121.020359202173,133.900854818312
"130","Alaska Airlines","01/19/2019","2018-12-06",44,"Thursday",138.6,1,"6",15,"4",122.504243748241,122.460762306694,119.103135586477,128.089607668458
"131","Alaska Airlines","01/19/2019","2018-12-07",43,"Friday",128.2,1,"6",14,"4",123.138976997453,123.139858161313,119.498048558174,129.016989353672
"132","Alaska Airlines","01/19/2019","2018-12-08",42,"Saturday",128.2,1,"6",14,"4",125.792784842198,125.675086391219,120.946404522765,133.780062998436
"133","Alaska Airlines","01/20/2019","2018-12-02",49,"Sunday",136.2,1,"7",16,"4",278.239605446576,280.364644483237,212.436181605164,390.709792808151
"134","Alaska Airlines","01/20/2019","2018-12-03",48,"Monday",136.2,1,"7",16,"4",252.397912279,253.420379636179,199.438141074523,339.460288539478
"135","Alaska Airlines","01/20/2019","2018-12-04",47,"Tuesday",136.2,1,"7",16,"4",260.146284831607,261.215302910903,203.141897740009,350.051856157741
"136","Alaska Airlines","01/20/2019","2018-12-05",46,"Wednesday",136.2,1,"7",15,"4",263.112223465268,262.597285465943,205.845779308664,360.238362475479
"137","Alaska Airlines","01/20/2019","2018-12-06",45,"Thursday",136.2,1,"6",15,"4",215.908387815454,215.833232460772,176.899281659529,281.064760472117
"139","Alaska Airlines","01/20/2019","2018-12-08",43,"Saturday",440.666666666667,1,"6",14,"4",256.259077827327,257.423688726703,200.148369769358,351.12593617809
"141","Alaska Airlines","01/21/2019","2018-12-03",49,"Monday",172.5,1,"7",16,"4",144.402011751058,144.663499249667,132.175649128686,164.980335327329
"142","Alaska Airlines","01/21/2019","2018-12-04",48,"Tuesday",423.21,1,"7",16,"4",145.406539452598,145.402462257411,132.923316369871,165.790010289103
"144","Alaska Airlines","01/21/2019","2018-12-06",46,"Thursday",164.6,1,"7",15,"4",137.710296136518,137.717611557614,128.093902306239,152.97062584158
"145","Alaska Airlines","01/21/2019","2018-12-07",45,"Friday",164.6,1,"6",15,"4",137.814754795155,137.668048676342,128.325743605683,154.046357985567
"146","Alaska Airlines","01/21/2019","2018-12-08",44,"Saturday",278.2,1,"6",15,"4",144.242663134839,144.304425247472,132.235894390746,164.076861408949
"147","Alaska Airlines","01/22/2019","2018-12-02",51,"Sunday",158.2,1,"7",17,"4",169.669690525368,169.439362793075,147.708112808319,205.88797984834
"150","Alaska Airlines","01/22/2019","2018-12-06",47,"Thursday",98.2,1,"7",16,"4",152.057504725119,151.733437478978,137.09474995706,176.826576593983
"151","Alaska Airlines","01/22/2019","2018-12-07",46,"Friday",128.2,1,"7",15,"4",154.99666412854,155.010683761301,138.337712851409,181.214425971707
"152","Alaska Airlines","01/22/2019","2018-12-08",45,"Saturday",128.2,1,"6",15,"4",164.749213488379,164.416590235731,145.071596889286,196.700879563533
"153","Alaska Airlines","01/23/2019","2018-12-02",52,"Sunday",218.2,1,"7",17,"4",123.338840804986,123.479796695917,119.517513556638,129.324216063946
"154","Alaska Airlines","01/23/2019","2018-12-03",51,"Monday",128.2,1,"7",17,"4",122.005898292894,122.033604521473,118.743339805712,127.225779756415
"155","Alaska Airlines","01/23/2019","2018-12-04",50,"Tuesday",236.4,1,"7",17,"4",122.436207483425,122.419097294982,119.079167009131,127.880080064167
"156","Alaska Airlines","01/23/2019","2018-12-05",49,"Wednesday",236.4,1,"7",16,"4",122.573396723087,122.596934003467,119.233433326887,128.20212169836
"157","Alaska Airlines","01/23/2019","2018-12-06",48,"Thursday",98.2,1,"7",16,"4",120.25415621753,120.093839959429,117.642778219864,124.747533256711
"158","Alaska Airlines","01/23/2019","2018-12-07",47,"Friday",98.2,1,"7",16,"4",120.773110775949,120.768228171424,118.051878029173,125.204116864614
"160","Alaska Airlines","01/24/2019","2018-12-02",53,"Sunday",136.2,1,"8",18,"4",178.922461170575,178.629250734422,153.387509768532,220.573068085723
"161","Alaska Airlines","01/24/2019","2018-12-03",52,"Monday",136.2,1,"7",17,"4",162.726756028975,162.56610715601,143.413480102949,195.137760506123
"162","Alaska Airlines","01/24/2019","2018-12-04",51,"Tuesday",136.2,1,"7",17,"4",164.205744466392,164.111652988694,144.449264965232,197.163765193049
"164","Alaska Airlines","01/24/2019","2018-12-06",49,"Thursday",136.2,1,"7",16,"4",151.763971012271,151.752713135277,136.826171602935,176.711418579823
"165","Alaska Airlines","01/24/2019","2018-12-07",48,"Friday",136.2,1,"7",16,"4",154.975697494324,154.726565013436,138.550889356524,181.297585698632
"166","Alaska Airlines","01/24/2019","2018-12-08",47,"Saturday",136.2,1,"7",16,"4",165.487114441046,164.926992610566,145.355820178615,198.761937954145
"167","Alaska Airlines","01/25/2019","2018-12-02",54,"Sunday",295.5,1,"8",18,"4",198.216834768465,199.454830329405,165.207591495596,253.882745973
"168","Alaska Airlines","01/25/2019","2018-12-03",53,"Monday",295.5,1,"8",18,"4",186.374838335071,186.682229973234,158.308982747933,233.653718128488
"170","Alaska Airlines","01/25/2019","2018-12-05",51,"Wednesday",218.2,1,"7",17,"4",180.075377496954,179.625607501245,153.370477494162,224.565819916648
"171","Alaska Airlines","01/25/2019","2018-12-06",50,"Thursday",136.2,1,"7",17,"4",162.811812265566,163.129250369797,143.217036919354,195.406502524155
"172","Alaska Airlines","01/25/2019","2018-12-07",49,"Friday",186.495,1,"7",16,"4",166.509007322243,167.327901112157,145.424920528297,201.644101561739
"174","Alaska Airlines","01/26/2019","2018-12-02",55,"Sunday",128.2,1,"8",18,"4",164.139281082957,163.976233065319,144.059149629441,198.113194636795
"175","Alaska Airlines","01/26/2019","2018-12-03",54,"Monday",128.2,1,"8",18,"4",157.410947876665,157.263060911921,140.838115920679,184.256349633748
"178","Alaska Airlines","01/26/2019","2018-12-06",51,"Thursday",98.2,1,"7",17,"4",142.969491025435,142.936542958403,131.686856218944,161.765228623769
"179","Alaska Airlines","01/26/2019","2018-12-07",50,"Friday",128.2,1,"7",17,"4",145.355819935594,145.896055057381,132.660662189195,166.419287605282
"180","Alaska Airlines","01/26/2019","2018-12-08",49,"Saturday",128.2,1,"7",16,"4",153.353491351374,153.275543838106,137.932226780142,177.70732583451
"181","Alaska Airlines","01/27/2019","2018-12-02",56,"Sunday",954.6,1,"8",19,"5",196.763065383431,196.716145765909,164.452036910499,250.590110100728
"182","Alaska Airlines","01/27/2019","2018-12-03",55,"Monday",136.2,1,"8",18,"4",185.328215640706,185.749426164889,156.617572759381,231.546460511911
"183","Alaska Airlines","01/27/2019","2018-12-04",54,"Tuesday",136.2,1,"8",18,"4",188.235138010512,188.257803043182,158.830522460663,235.104989129318
"184","Alaska Airlines","01/27/2019","2018-12-05",53,"Wednesday",136.2,1,"8",18,"4",190.453819162687,190.856475962487,159.795520369964,240.387935404707
"187","Alaska Airlines","01/27/2019","2018-12-08",50,"Saturday",440.666666666667,1,"7",17,"4",179.993354212106,181.398851131463,154.040812948196,223.582106738527
"188","Alaska Airlines","01/28/2019","2018-12-02",57,"Sunday",316.2,1,"8",19,"5",186.975779352683,187.000624144111,158.646229079287,234.908621081009
"189","Alaska Airlines","01/28/2019","2018-12-03",56,"Monday",172.5,1,"8",19,"5",175.691136249042,175.839132423968,151.545396799695,214.849340835815
"190","Alaska Airlines","01/28/2019","2018-12-04",55,"Tuesday",423.21,1,"8",18,"4",180.025295505732,180.593615587788,153.895351283018,221.433028450823
"191","Alaska Airlines","01/28/2019","2018-12-05",54,"Wednesday",420.4,1,"8",18,"4",179.958840948373,179.831765886763,154.40047163181,224.015337222647
"193","Alaska Airlines","01/28/2019","2018-12-07",52,"Friday",198.2,1,"7",17,"4",160.578431560946,160.286506572546,142.289408048179,190.667071676025
"194","Alaska Airlines","01/28/2019","2018-12-08",51,"Saturday",278.2,1,"7",17,"4",171.686926066377,172.228864862567,148.927295155504,208.080749627234
"195","Alaska Airlines","01/29/2019","2018-12-02",58,"Sunday",158.2,1,"8",19,"5",130.609007255415,130.488347018831,123.844917805753,141.578834315716
"198","Alaska Airlines","01/29/2019","2018-12-06",54,"Thursday",98.2,1,"8",18,"4",125.275897967215,125.170926240969,120.824093923801,132.705190997652
"199","Alaska Airlines","01/29/2019","2018-12-07",53,"Friday",98.2,1,"8",18,"4",126.284200494286,126.271575004168,121.412265949851,134.169531746009
"200","Alaska Airlines","01/29/2019","2018-12-08",52,"Saturday",108.2,1,"7",17,"4",127.113200286898,126.905939327979,121.955901347458,136.156570352046
"201","Alaska Airlines","01/30/2019","2018-12-02",59,"Sunday",128.2,1,"8",20,"5",256.602065475333,257.583273259265,200.274193830191,350.65557974916
"202","Alaska Airlines","01/30/2019","2018-12-03",58,"Monday",256.4,1,"8",19,"5",234.788269473668,236.958065614082,186.647192526984,313.47638437692
"203","Alaska Airlines","01/30/2019","2018-12-04",57,"Tuesday",256.4,1,"8",19,"5",244.443826062784,244.052760989041,194.392540039028,325.668287759529
"204","Alaska Airlines","01/30/2019","2018-12-05",56,"Wednesday",256.4,1,"8",19,"5",242.242480562437,242.700605484258,191.496415988523,324.284069343131
"206","Alaska Airlines","01/30/2019","2018-12-08",53,"Saturday",198.2,1,"8",18,"4",246.301953514302,247.235780873443,193.992670263053,333.575149849693
"207","Alaska Airlines","01/31/2019","2018-12-02",60,"Sunday",136.2,1,"9",20,"5",168.290394404195,167.740875528322,146.67828133403,203.087487304435
"208","Alaska Airlines","01/31/2019","2018-12-03",59,"Monday",136.2,1,"8",20,"5",148.901977320627,148.475883494279,135.009123100566,171.562677919773
"209","Alaska Airlines","01/31/2019","2018-12-04",58,"Tuesday",136.2,1,"8",19,"5",150.433776885958,150.507599802801,136.718213550021,173.371068136461
"210","Alaska Airlines","01/31/2019","2018-12-05",57,"Wednesday",158.2,1,"8",19,"5",150.225415746351,149.905162256573,135.886626925183,174.851800757895
"211","Alaska Airlines","01/31/2019","2018-12-06",56,"Thursday",136.2,1,"8",19,"5",141.081617612486,140.886829969795,130.442814431449,158.677447169235
"212","Alaska Airlines","01/31/2019","2018-12-08",54,"Saturday",128.2,1,"8",18,"4",150.417071882698,150.400346382597,136.067832600148,173.510283825934
"213","Alaska Airlines","02/01/2019","2018-12-02",61,"Sunday",136.2,1,"9",20,"5",194.864554586835,194.494957630164,162.870131993364,247.540401820228
"214","Alaska Airlines","02/01/2019","2018-12-03",60,"Monday",136.2,1,"9",20,"5",184.943976970972,184.474646931791,157.094318923073,230.829610765171
"215","Alaska Airlines","02/01/2019","2018-12-04",59,"Tuesday",136.2,1,"8",20,"5",168.320921565358,168.26676508759,146.313162301021,204.617566053224
"216","Alaska Airlines","02/01/2019","2018-12-05",58,"Wednesday",218.2,1,"8",19,"5",168.93557186639,167.892800118966,147.065470796118,204.136630527767
"217","Alaska Airlines","02/01/2019","2018-12-06",57,"Thursday",136.2,1,"8",19,"5",155.396059582558,155.504408236871,138.660217051736,182.79511613322
"218","Alaska Airlines","02/01/2019","2018-12-07",56,"Friday",186.495,1,"8",19,"5",157.311865972997,157.356497047167,140.134718142083,185.65595522041
"220","Alaska Airlines","02/02/2019","2018-12-05",59,"Wednesday",168.6,1,"8",20,"5",137.291212173821,137.047167072852,128.243992851491,151.735693893006
"221","Alaska Airlines","02/02/2019","2018-12-06",58,"Thursday",168.65,1,"8",19,"5",131.470847200556,131.464129213826,124.4668304068,142.676308085518
"222","Alaska Airlines","02/02/2019","2018-12-07",57,"Friday",168.65,1,"8",19,"5",132.842812799265,132.499597254144,125.393076012436,145.402478042628
"225","Alaska Airlines","02/03/2019","2018-12-03",62,"Monday",272.4,1,"9",21,"5",323.482397841177,323.155340479076,240.939761160764,460.098798210413
"226","Alaska Airlines","02/03/2019","2018-12-04",61,"Tuesday",272.4,1,"9",20,"5",330.622854697658,330.374040325607,248.046406077499,467.530628747034
"227","Alaska Airlines","02/03/2019","2018-12-05",60,"Wednesday",136.2,1,"9",20,"5",334.003597096241,334.193996557651,247.047529369034,481.037429083506
"228","Alaska Airlines","02/03/2019","2018-12-06",59,"Thursday",136.2,1,"8",20,"5",234.320324888471,234.439932697164,187.768658288549,312.117688947911
"230","Alaska Airlines","02/03/2019","2018-12-08",57,"Saturday",440.666666666667,1,"8",19,"5",278.169106406433,278.502261005088,213.559655016587,382.228360985443
"231","Alaska Airlines","02/04/2019","2018-12-02",64,"Sunday",316.2,1,"9",21,"5",212.813200579878,213.883525213219,173.580586985399,278.975418076168
